,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
Rokkr,7,5,58.33%,4.58,4.08,0.50,104,55,49,52.88%,55,52.88%,35,63.64%,53,25,28,47.17%,25,47.17%,16,64.00%,29,20,68.97%,11,7,63.64%,18,13,72.22%,51,30,21,58.82%,30,58.82%,19,63.33%,26,11,42.31%,14,5,35.71%,12,6,50.00%
Thieves,5,4,55.56%,3.89,4.78,-0.89,78,35,43,44.87%,39,50.00%,23,58.97%,38,13,25,34.21%,19,50.00%,10,52.63%,16,7,43.75%,6,4,66.67%,10,3,30.00%,40,22,18,55.00%,20,50.00%,13,65.00%,19,6,31.58%,5,2,40.00%,14,4,28.57%
Guerrillas,5,5,50.00%,4.80,4.50,0.30,93,48,45,51.61%,55,59.14%,38,69.09%,47,20,27,42.55%,24,51.06%,14,58.33%,21,11,52.38%,15,7,46.67%,6,4,66.67%,46,28,18,60.87%,31,67.39%,24,77.42%,22,12,54.55%,13,9,69.23%,9,3,33.33%
Ultra,3,3,50.00%,4.33,4.50,-0.17,53,26,27,49.06%,25,47.17%,19,76.00%,26,10,16,38.46%,10,38.46%,7,70.00%,11,7,63.64%,5,3,60.00%,6,4,66.67%,27,16,11,59.26%,15,55.56%,12,80.00%,9,4,44.44%,8,4,50.00%,1,0,0.00%
FaZe,5,6,45.45%,4.55,4.27,0.27,97,50,47,51.55%,45,46.39%,35,77.78%,49,21,28,42.86%,20,40.82%,13,65.00%,25,13,52.00%,19,7,36.84%,6,6,100.00%,48,29,19,60.42%,25,52.08%,22,88.00%,23,12,52.17%,10,6,60.00%,13,6,46.15%
Subliners,3,5,37.50%,4.75,5.00,-0.25,78,38,40,48.72%,42,53.85%,28,66.67%,38,13,25,34.21%,19,50.00%,10,52.63%,17,9,52.94%,6,4,66.67%,11,5,45.45%,40,25,15,62.50%,23,57.50%,18,78.26%,17,8,47.06%,11,4,36.36%,6,4,66.67%
Breach,3,6,33.33%,4.22,5.44,-1.22,87,38,49,43.68%,38,43.68%,28,73.68%,42,16,26,38.10%,13,30.95%,9,69.23%,20,13,65.00%,12,9,75.00%,8,4,50.00%,45,22,23,48.89%,25,55.56%,19,76.00%,19,6,31.58%,13,4,30.77%,6,2,33.33%
Mutineers,2,4,33.33%,4.83,5.00,-0.17,59,29,30,49.15%,30,50.85%,21,70.00%,30,12,18,40.00%,12,40.00%,8,66.67%,13,9,69.23%,8,5,62.50%,5,4,80.00%,29,17,12,58.62%,18,62.07%,13,72.22%,14,4,28.57%,8,2,25.00%,6,2,33.33%
Legion,1,6,14.29%,3.71,5.43,-1.71,64,26,38,40.63%,28,43.75%,19,67.86%,31,10,21,32.26%,6,19.35%,4,66.67%,9,5,55.56%,5,1,20.00%,4,4,100.00%,33,16,17,48.48%,22,66.67%,15,68.18%,20,6,30.00%,13,3,23.08%,7,3,42.86%
Matches Played,54,,,,Totals,,Rounds,,503,,FBW,357,FBW%,70.97%,503,205,298,40.76%,208,41.35%,134,64.42%,231,135,58.44%,128,71,55.47%,103,64,62.14%,503,298,205,59.24%,293,58.25%,223,76.11%,231,96,41.56%,128,57,44.53%,103,39,37.86%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESERT SIEGE,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
Royal Ravens,7,1,87.50%,5.88,4.00,1.88,79,47,32,59.49%,41,51.90%,36,87.80%,40,20,20,50.00%,18,45.00%,15,83.33%,21,15,71.43%,12,9,75.00%,9,6,66.67%,39,27,12,69.23%,23,58.97%,21,91.30%,25,15,60.00%,16,8,50.00%,9,7,77.78%
FaZe,8,4,66.67%,4.67,3.83,0.83,102,56,46,54.90%,52,50.98%,45,86.54%,50,26,24,52.00%,26,52.00%,21,80.77%,31,25,80.65%,10,10,100.00%,21,15,71.43%,52,30,22,57.69%,26,50.00%,24,92.31%,33,13,39.39%,21,6,28.57%,12,7,58.33%
Subliners,7,4,63.64%,4.91,4.27,0.64,101,54,47,53.47%,61,60.40%,45,73.77%,50,21,29,42.00%,30,60.00%,18,60.00%,31,19,61.29%,15,7,46.67%,16,12,75.00%,51,33,18,64.71%,31,60.78%,27,87.10%,24,10,41.67%,10,4,40.00%,14,6,42.86%
Guerrillas,6,4,60.00%,4.70,4.20,0.50,89,47,42,52.81%,50,56.18%,40,80.00%,44,18,26,40.91%,20,45.45%,15,75.00%,29,16,55.17%,11,8,72.73%,18,8,44.44%,45,29,16,64.44%,30,66.67%,25,83.33%,23,9,39.13%,16,5,31.25%,7,4,57.14%
Rokkr,4,3,57.14%,4.86,4.57,0.29,66,34,32,51.52%,32,48.48%,25,78.13%,34,13,21,38.24%,13,38.24%,8,61.54%,19,10,52.63%,15,8,53.33%,4,2,50.00%,32,21,11,65.63%,19,59.38%,17,89.47%,16,8,50.00%,11,6,54.55%,5,2,40.00%
Ultra,6,6,50.00%,4.75,4.00,0.75,105,57,48,54.29%,54,51.43%,40,74.07%,52,24,28,46.15%,26,50.00%,16,61.54%,29,19,65.52%,21,14,66.67%,8,5,62.50%,53,33,20,62.26%,28,52.83%,24,85.71%,28,10,35.71%,12,3,25.00%,16,7,43.75%
Surge,4,5,44.44%,4.11,4.56,-0.44,78,37,41,47.44%,44,56.41%,29,65.91%,41,16,25,39.02%,21,51.22%,13,61.90%,30,15,50.00%,21,13,61.90%,9,2,22.22%,37,21,16,56.76%,23,62.16%,16,69.57%,22,9,40.91%,10,2,20.00%,12,7,58.33%
Breach,4,6,40.00%,3.60,4.70,-1.10,83,36,47,43.37%,38,45.78%,23,60.53%,41,17,24,41.46%,14,34.15%,9,64.29%,25,14,56.00%,12,7,58.33%,13,7,53.85%,42,19,23,45.24%,24,57.14%,14,58.33%,28,9,32.14%,12,3,25.00%,16,6,37.50%
Thieves,4,6,40.00%,4.30,4.30,0.00,86,43,43,50.00%,33,38.37%,25,75.76%,43,18,25,41.86%,18,41.86%,15,83.33%,26,15,57.69%,13,10,76.92%,13,5,38.46%,43,25,18,58.14%,15,34.88%,10,66.67%,25,8,32.00%,13,6,46.15%,12,2,16.67%
OpTic,1,3,25.00%,3.75,5.00,-1.25,35,15,20,42.86%,17,48.57%,11,64.71%,18,5,13,27.78%,8,44.44%,3,37.50%,12,5,41.67%,7,3,42.86%,5,2,40.00%,17,10,7,58.82%,9,52.94%,8,88.89%,13,7,53.85%,8,3,37.50%,5,4,80.00%
Mutineers,2,7,22.22%,3.78,5.33,-1.56,82,34,48,41.46%,34,41.46%,21,61.76%,41,13,28,31.71%,15,36.59%,6,40.00%,24,12,50.00%,10,5,50.00%,14,7,50.00%,41,21,20,51.22%,19,46.34%,15,78.95%,29,12,41.38%,14,5,35.71%,15,7,46.67%
