24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,OpTic Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
PPGA,210.35,,4.35,,1.65,,,,,1,Wk 3,2,SnD,Tuscan,6,Ultra,2,OpTic,,2,Major,0,Surge,3,Surge,,Desert Siege,1,3,25.00%,3.75,5.00,-1.25,35,15,20,42.86%,17,48.57%,11,64.71%,18,5,13,27.78%,8,44.44%,3,37.50%,12,5,41.67%,7,3,42.86%,5,2,40.00%,17,10,7,58.82%,9,52.94%,8,88.89%,13,7,53.85%,8,3,37.50%,5,4,80.00%
Avg Diff,13.37,,0.69,,0.73,,,,,1,Wk 3,3,Control,Tuscan,3,Ultra,1,OpTic,,2,Major,3,Rokkr,1,OpTic,,Tuscan,10,3,76.92%,5.23,3.92,1.31,119,68,51,57.14%,67,56.30%,55,82.09%,57,38,19,66.67%,31,54.39%,30,96.77%,29,22,75.86%,15,11,73.33%,14,11,78.57%,62,30,32,48.39%,36,58.06%,25,69.44%,32,9,28.13%,22,6,27.27%,10,3,30.00%
,,,,,,,,,,1,Wk 3,1,Hardpoint,Gavutu,247,Breach,250,Breach,,2,Major,3,Thieves,2,OpTic,,,0,0,,,,0.00,0,0,0,,0,,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,
3-1,HP,,SnD,,CTR,,Total,,,1,Wk 3,2,SnD,Tuscan,6,Breach,5,OpTic,,2,Major,1,Mutineers,3,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thieves,W,L,W,L,W,L,W,L ,,1,Wk 3,3,Control,Gavutu,3,Breach,0,OpTic,,3,Wk 1,3,Guerrillas,0,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,2,2,1,1,1,1,4,4,,1,Wk 3,4,Hardpoint,Tuscan,250,Breach,181,OpTic,,3,Wk 1,3,Mutineers,0,OpTic,,Overall,29,19,60.42%,5.04,4.35,0.69,451,242,209,53.66%,228,50.55%,174,76.32%,225,125,100,55.56%,107,47.56%,83,77.57%,126,83,65.87%,49,33,67.35%,77,50,64.94%,226,117,109,51.77%,121,53.54%,91,75.21%,129,45,34.88%,80,25,31.25%,49,20,40.82%
Bocage,0,0,0,1,0,0,0,1,,1,Major,1,Hardpoint,Bocage,250,Surge,209,OpTic,,3,Wk 2,3,FaZe,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,1,0,0,0,1,,1,Major,2,SnD,Berlin,6,Surge,3,OpTic,,3,Wk 3,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,1,0,0,0,0,0,1,0,,1,Major,3,Control,Tuscan,3,Surge,2,OpTic,,3,Wk 3,3,Thieves,0,OpTic,,Control,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,
Tuscan,1,1,2,0,2,0,5,1,,1,Major,1,Hardpoint,Bocage,177,FaZe,250,FaZe,,3,Major,2,Mutineers,3,Mutineers,,Map,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA,,,,
,0,0,0,0,0,0,0,0,,1,Major,2,SnD,Berlin,3,FaZe,6,FaZe,,3,Major,3,Guerrillas,0,OpTic,,Gavutu,6,1,85.71%,2.71,1.29,1.43,28,19,9,67.86%,319,11.39,12,5,7,41.67%,9,5,55.56%,6,5,83.33%,5,100.00%,0,0.00%,135,11.25,52,4.33,16,14,2,87.50%,7,14,13,92.86%,1,7.14%,184,11.50,40,2.50,,,,
,0,0,0,0,0,0,0,0,,1,Major,3,Control,Tuscan,3,FaZe,2,OpTic,,3,Major,3,Royal Ravens,0,OpTic,,Tuscan,15,7,68.18%,2.41,1.77,0.64,92,53,39,57.61%,690,7.50,46,14,32,30.43%,40,14,35.00%,6,6,100.00%,6,42.86%,8,57.14%,277,6.02,166,3.61,46,39,7,84.78%,3,39,33,84.62%,6,15.38%,413,8.98,169,3.67,,,,
,0,0,0,0,0,0,0,0,,1,Major,4,Hardpoint,Gavutu,250,FaZe,186,OpTic,,3,Major,1,Thieves,3,Thieves,,Berlin,5,3,62.50%,2.00,1.63,0.38,29,16,13,55.17%,233,8.03,15,7,8,46.67%,15,7,46.67%,5,5,100.00%,5,71.43%,2,28.57%,100,6.67,71,4.73,14,9,5,64.29%,0,9,8,88.89%,1,11.11%,133,9.50,63,4.50,,,,
