Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Ultra,14,28,12,24,34,10,29,48,18,4,29,,,,,250,11,,53,-17,3,57,39,2,60,21,2,42,-6,2,38,-12,2,22.73,48,4,0,0,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,7,6,1,85.71%,3,3,3,0,3,3,0,0,2,2,4,3,1,0,0,0,0,1,1,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,12,9,3,75.00%,6,4,2,6,4,3,3,63,3,1,28,6,5,1,45,0,5,3,2,23
Tuscan,OpTic,32,4,37,24,13,24,14,2,24,37,14,,,,,225,,,70,17,3,18,-39,2,39,-21,2,48,6,2,50,12,2,20.45,37,2,0,0,0,0,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Ultra,,A,D,,1,B,O,X,1,A,D,X,,B,O,,,A,D,,,,O,,,B,D,,1,,O,X,,A,D,,,,,,,,,,3,,4,2,2,2,0,0,2,1,5,1,1,1,4,1,1,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Subliners,,,,,O,9,1,,X,,D,2,1,X,,4,O,5,1,,X,,D,9,,,,,,,3,25,4,,2,1,1,1,0,0,14,0,1,4,2,2,11,0,2,1,1,7,,Subliners,3,0,3,0.00%,2,0,2,2,0,0,0,5,0,0,6,1,0,1,4,0,0,0,0,6
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,OpTic,1,A,O,X,,B,D,,,A,O,,1,B,D,X,1,A,O,X,1,,D,X,1,B,O,X,,,D,,1,A,O,X,,,,,,,,,6,,5,4,4,4,4,3,1,1,4,2,2,2,0,0,2,1,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Royal Ravens,1,X,X,,D,20,,X,,4,O,0,,,,,D,0,,X,,3,O,1,,,,,,,1,21,7,,2,0,2,0,0,0,1,0,0,7,2,1,20,1,1,1,0,4,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,FaZe,19,2,39,39,21,0,5,0,30,41,33,14,,,,243,12,,52,-24,3,21,-61,3,39,12,2,69,43,2,62,23,2,20.25,41,0,0,2,1,1,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Subliners,20,45,0,11,37,54,34,27,15,2,2,3,,,,250,,,76,24,3,82,61,3,27,-12,2,26,-43,2,39,-23,2,20.83,54,0,1,1,0,2,,,Ultra,21,24,-3,3,5,72,-67,3,64,40,24,2,45,19,26,2,27,50,-23,2,162,205,-43,0,2,0,1,12,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,18,6,12,33.33%,5,9,2,7,3,2,2,0,2,1,9,4,5,2,2,6,2,3,2,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Surge,33,23,10,3,36,56,-20,2,76,14,62,2,73,5,68,2,32,52,-20,2,250,150,100,0,0,0,1,11,,,,,,Berlin,OpTic,,A,D,,,A,O,,1,A,D,X,1,B,O,X,1,,D,X,1,A,O,,,A,D,,,,O,,1,B,D,X,,,O,,1,A,O,,6,,6,3,1,1,3,2,1,1,5,3,3,3,3,1,1,1,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Breach,,,X,5,O,0,1,X,X,,D,21,,,X,5,O,0,1,X,,,D,6,,,,,D,3,2,30,10,,2,0,0,0,2,0,0,0,0,10,3,2,30,2,1,2,0,11,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,FaZe,27,15,31,33,3,36,8,18,30,27,22,,,,,250,11,,85,44,3,23,-31,2,49,15,2,63,38,2,30,-26,2,22.73,36,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,767,,,0,4,0,4,23,,,,,,Berlin,Ultra,1,A,O,X,1,A,D,X,,A,O,,,B,D,,,,O,,,A,D,X,1,A,O,X,1,,D,X,,B,O,,1,,D,X,,A,D,X,5,,5,2,2,2,3,2,1,0,6,3,5,3,3,1,1,0,,,Surge,17,8,9,47.06%,11,8,2,6,4,2,3,2,3,0,9,6,3,7,5,4,2,0,0,,,,,,Berlin,Ultra,1,X,,,D,5,,,,1,O,9,1,X,,,D,10,,,X,5,O,3,1,X,X,5,O,12,3,39,11,,3,1,1,1,2,1,24,1,0,11,2,2,15,2,0,0,2,10,,Surge,14,6,8,42.86%,6,1,5,5,1,1,1,15,1,0,25,8,5,3,45,0,5,3,2,32
Tuscan,Subliners,19,28,2,11,45,19,26,32,14,11,3,,,,,210,,,41,-44,3,54,31,2,34,-15,2,25,-38,2,56,26,2,19.09,45,2,0,0,0,0,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavutu,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Desert Siege,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Brerlin,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Gavutu,Royal Ravens,18,8,7,54,38,55,6,19,0,41,4,,,,,250,11,,77,62,3,14,-54,2,26,-32,2,54,1,2,79,59,2,22.73,55,0,2,1,1,2,,,OpTic,16,72,-56,2,11,66,-55,2,9,41,-32,1,6,49,-43,1,16,22,-6,1,58,250,-192,0,0,0,0,7,,,,,,Tuscan,FaZe,,B,D,,,B,O,,1,,D,X,,,O,,1,,D,X,1,,O,X,1,A,D,X,,B,O,X,,A,D,,,,O,,,,,,4,,5,1,2,1,0,0,2,0,5,3,3,3,2,1,1,0,,,Breach,6,6,0,100.00%,4,3,3,0,2,2,0,0,3,3,3,3,0,2,2,1,1,1,1,,,,,,Tuscan,Surge,,X,,3,O,2,1,,X,,D,8,,X,,4,O,4,,,,,D,8,,,,,,,1,22,7,,2,0,2,0,0,0,6,0,0,7,2,1,16,0,1,1,0,9,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Subliners,13,27,41,0,13,2,41,17,53,7,0,,,,,214,,,15,-62,3,68,54,2,58,32,2,53,-1,2,20,-59,2,19.45,53,0,1,2,2,1,,,Thieves,107,61,46,4,104,67,37,4,136,16,120,3,66,85,-19,3,87,16,71,3,500,245,255,0,1,1,3,17,,,,,,Tuscan,Subliners,1,B,O,X,1,B,D,X,,,O,,1,,D,X,,,O,,,,D,,,A,O,,1,B,D,,1,A,O,X,1,,D,X,,,,,6,,5,2,2,2,2,1,1,1,5,4,3,3,0,0,2,2,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,1,,X,,D,11,,X,,3,O,5,1,,X,,D,8,1,X,X,6,O,17,,,,,,,3,41,9,,2,1,2,1,1,1,22,1,0,9,2,2,19,0,2,2,0,7,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaZe,97,111,-14,5,77,120,-43,5,46,122,-76,4,148,43,105,4,62,104,-42,4,430,500,-70,1,5,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Royal Ravens,24,11,12,22,10,14,35,20,23,2,0,,,,,173,11,,38,-47,3,46,15,2,32,-37,2,45,12,2,12,-20,2,15.73,35,0,0,1,0,0,,,Subliners,91,129,-38,6,150,35,115,5,85,65,20,4,79,123,-44,4,59,141,-82,4,464,493,-29,2,3,2,3,23,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Subliners,19,25,41,25,19,33,6,28,8,13,33,,,,,250,,,85,47,3,31,-15,2,69,37,2,33,-12,2,32,20,2,22.73,41,6,0,0,0,1,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,FaZe,1,A,D,X,1,B,O,,1,A,D,X,1,,O,,,B,D,,1,B,O,,,A,D,,1,B,O,X,,,,,,,,,,,,,6,,4,4,1,1,0,0,3,3,4,2,2,2,3,2,1,0,,,Subliners,8,2,6,25.00%,5,4,1,3,2,1,1,0,2,1,4,1,3,3,1,1,0,2,0,,,,,,Gavutu,Thieves,,X,,4,O,6,1,X,X,,D,19,,X,,4,O,0,1,X,X,,D,19,1,,X,,D,7,3,51,8,,2,0,2,0,0,0,6,0,0,8,3,3,45,2,3,3,0,6,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,77,15,62,3,14,68,-54,2,26,58,-32,2,54,53,1,2,79,20,59,2,250,214,36,2,1,1,2,11,,,,,,Berlin,Subliners,,A,O,,,B,D,X,,A,O,,,,D,X,1,B,O,X,,B,D,X,1,A,O,X,,B,D,,,,,,,,,,,,,,2,,4,2,2,2,3,1,1,1,4,0,3,0,0,0,3,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,OpTic,1,,X,,D,10,,,,1,O,11,1,,,,D,1,,,,1,O,9,,X,,4,O,1,2,32,6,,3,0,1,0,0,0,21,0,0,6,2,2,11,0,1,1,1,8,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,15,12,3,80.00%,6,8,7,1,4,4,2,2,5,5,7,5,2,2,2,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Breach,13,30,20,8,30,7,27,18,8,9,,,,,,170,10,,20,-53,2,57,31,2,38,-13,2,16,-52,2,39,7,2,17,30,7,0,0,0,0,,,Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Ultra,35,14,21,33,11,38,12,30,35,21,,,,,,250,,,73,53,2,26,-31,2,51,13,2,68,52,2,32,-7,2,25,38,11,0,0,0,0,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,6,0,6,0.00%,2,3,0,3,1,0,1,0,1,0,3,0,3,1,0,0,0,3,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Royal Ravens,1,B,D,X,,,O,,1,A,D,X,1,B,O,,,B,D,,1,B,O,,1,,D,,1,A,O,X,,,,,,,,,,,,,6,,4,3,1,1,1,1,2,2,4,3,2,2,1,1,2,1,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Ultra,1,X,X,5,O,21,,,,,D,0,1,X,X,5,O,15,1,X,,,D,7,,,,,,,3,43,10,,2,2,2,2,2,2,36,2,0,10,2,1,7,1,0,1,0,6,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,,,,,,,,,,,,,,,,,,,Total Pts,,1702,,,5,10,5,10,40,,,,,,Desert Siege,Subliners,,B,O,,1,,D,X,,A,O,,,B,D,X,1,B,O,X,,B,D,X,,,O,X,,A,D,,,,,,,,,,,,,,2,,4,1,2,1,1,0,2,1,4,1,3,1,1,0,2,0,,,Surge,7,1,6,14.29%,4,3,1,2,3,1,1,1,2,0,4,0,4,1,0,1,0,3,0,,,,,,Berlin,Surge,,,,,D,20,1,,X,3,O,5,,,,,D,6,,,X,3,O,3,,,,,,,1,34,6,,2,1,0,0,2,1,8,0,1,6,2,0,26,0,0,0,0,10,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Breach,42,17,12,8,12,0,49,26,8,22,20,2,,,,218,12,,62,-25,3,68,37,3,38,-24,2,16,-36,2,34,16,2,18.17,49,0,0,1,1,1,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Ultra,2,24,35,31,17,52,0,27,21,1,33,7,,,,250,,,87,25,3,31,-37,3,62,24,2,52,36,2,18,-16,2,20.83,52,0,1,1,0,1,,,Tuscan,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,61,96,-35,4,74,85,-11,4,103,88,15,4,90,86,4,4,92,76,16,4,420,431,-11,0,0,0,0,20,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Tuscan,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
