Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,138,125,13,6,68,128,-60,5,99,104,-5,4,91,62,29,4,59,49,10,4,455,468,-13,1,2,0,1,23,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,11,5,6,45.45%,7,5,2,3,2,2,3,2,1,0,6,3,3,5,3,3,1,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,5,3,2,60.00%,3,1,2,2,1,0,0,26,0,1,8,2,2,0,27,1,2,2,0,3
Berlin,Thieves,18,33,21,34,28,39,4,27,25,21,,,,,,250,10,,57,10,2,37,-12,2,48,-2,2,59,46,2,49,42,2,25,39,4,0,0,0,2,,,Surge,320,331,-11,15,235,222,13,11,296,185,111,10,164,246,-82,10,175,182,-7,10,1190,1166,24,2,4,2,4,56,,,,,,Berlin,Thieves,1,,D,,1,,O,X,,B,D,X,1,,O,X,,B,D,,,,O,,,A,D,X,1,A,O,,1,,D,X,1,,O,X,,,,,6,,5,4,3,3,1,1,0,0,5,2,3,1,1,0,2,0,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,OpTic,,,,,O,14,1,,X,,D,9,,X,,3,O,1,1,X,X,,D,27,,,,,D,0,2,51,3,,2,0,1,0,0,0,15,0,0,3,3,2,36,1,2,2,0,8,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Breach,31,9,24,0,7,16,40,26,13,0,,,,,,166,,,47,-10,2,49,12,2,50,2,2,13,-46,2,7,-42,2,16.6,40,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,3984,,,7,15,7,15,97,,,,,,Berlin,Breach,,,O,X,,,D,,1,B,O,,,,D,,1,B,O,X,1,,D,X,1,A,O,,,A,D,X,,,O,,,,D,,,,,,4,,5,3,2,1,1,1,2,2,5,1,2,1,1,0,0,0,,,Surge,17,8,9,47.06%,8,9,4,5,4,3,3,2,3,2,8,4,4,4,3,2,1,2,0,,,,,,Gavutu,Ultra,1,X,X,,D,21,,X,,3,O,6,1,,X,,D,6,,,,,O,11,1,X,,5,O,9,3,53,8,,3,1,2,1,0,0,26,0,1,8,2,2,27,1,2,2,0,3,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Ultra,2,0,28,23,8,7,5,36,22,19,12,0,,,,162,12,,21,-3,3,5,-67,3,64,24,2,45,26,2,27,-23,2,13.5,36,0,0,2,0,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,W/L,A,B,Ticks,Side,Lives,Score,Lives,Ticks,,Rounds,W,A Caps,A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Bocage,OpTic,7,40,24,5,34,14,32,16,14,16,3,0,,,,205,,,24,3,3,72,67,3,40,-24,2,19,-26,2,50,23,2,17.08,40,0,0,1,0,2,,,OpTic,24,21,3,3,72,5,67,3,40,64,-24,2,19,45,-26,2,50,27,23,2,205,162,43,0,1,0,2,12,,,,,,Tuscan,Breach,,A,D,,,,O,,1,,D,X,1,A,O,,,,D,,1,B,O,X,1,A,D,X,,,O,,,A,D,,1,A,O,X,,B,O,,5,,6,3,2,2,2,2,2,1,5,2,2,2,3,1,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Subliners,,X,,3,O,0,,,,,D,4,,X,,3,O,5,,,,,,,,,,,,,0,9,6,,2,0,2,0,0,0,5,0,0,6,1,0,4,0,0,0,0,6,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Thieves,1,A,O,X,1,,D,X,,,O,,,A,D,X,1,,O,X,,B,D,,,A,O,,1,,D,X,1,A,O,X,,A,D,,1,B,D,X,6,,5,3,3,3,3,2,0,0,6,3,4,3,2,0,2,1,,,OpTic,17,12,5,70.59%,10,9,7,2,5,5,6,5,1,1,8,5,3,5,5,1,0,3,2,,,,,,Tuscan,FaZe,1,,X,,D,9,1,X,X,6,O,10,1,,X,,D,11,,,,,,,,,,,,,3,30,6,,1,1,1,1,1,1,10,1,0,6,2,2,20,0,2,1,1,6,,OpTic,5,2,3,40.00%,3,0,3,3,0,0,0,7,0,0,10,2,2,0,23,1,2,1,1,8
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,23,33,-10,3,56,36,20,2,14,76,-62,2,5,73,-68,2,52,32,20,2,150,250,-100,0,1,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,7,1,6,14.29%,4,4,1,3,4,1,0,0,1,0,3,0,3,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
