Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 3,2,SnD,Tuscan,Breach,5,OpTic,6,OpTic,,3,Wk 2,OpTic,3,FaZe,1,OpTic,,,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Gavutu,Breach,0,OpTic,3,OpTic,,3,Wk 2,Subliners,2,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Tuscan,Breach,181,OpTic,250,OpTic,,3,Wk 3,Legion,0,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,
1,Wk 3,1,Hardpoint,Berlin,FaZe,250,Subliners,189,FaZe,,3,Wk 3,Surge,3,Mutineers,1,Surge,,,,,,,,,,,,,,,,,,,
1,Wk 3,2,SnD,Tuscan,FaZe,6,Subliners,1,FaZe,,3,Wk 3,Rokkr,3,FaZe,0,Rokkr,,,,,,,,,,,,,,,,,,,
1,Wk 3,3,Control,Gavutu,FaZe,2,Subliners,3,Subliners,,3,Wk 3,FaZe,3,Guerrillas,1,FaZe,,,,,,,,,,,,,,,,,,,
1,Wk 3,4,Hardpoint,Tuscan,FaZe,250,Subliners,190,FaZe,,3,Wk 3,Royal Ravens,1,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Tuscan,Royal Ravens,250,Guerrillas,241,Royal Ravens,,3,Wk 3,Thieves,3,Breach,0,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Royal Ravens,5,Guerrillas,6,Guerrillas,,3,Wk 3,Subliners,3,OpTic,1,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Royal Ravens,2,Guerrillas,3,Guerrillas,,3,Wk 3,Surge,3,Royal Ravens,0,Surge,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Royal Ravens,250,Guerrillas,98,Royal Ravens,,3,Wk 3,Mutineers,3,Breach,2,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Desert Siege,Royal Ravens,6,Guerrillas,3,Royal Ravens,,3,Wk 3,OpTic,3,Thieves,0,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,FaZe,250,Breach,207,FaZe,,3,Major,Surge,3,Subliners,2,Surge,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Tuscan,FaZe,6,Breach,4,FaZe,,3,Major,Ultra,1,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,FaZe,3,Breach,1,FaZe,,3,Major,OpTic,2,Mutineers,3,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Thieves,250,Ultra,167,Thieves,,3,Major,Rokkr,2,Thieves,3,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Tuscan,Thieves,2,Ultra,6,Ultra,,3,Major,Royal Ravens,3,Subliners,1,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,Thieves,2,Ultra,3,Ultra,,3,Major,Guerrillas,0,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Thieves,250,Ultra,145,Thieves,,3,Major,Legion,1,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Desert Siege,Thieves,3,Ultra,6,Ultra,,3,Major,Breach,0,Rokkr,3,Rokkr,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,OpTic,250,Surge,209,OpTic,,3,Major,Royal Ravens,0,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,OpTic,6,Surge,3,OpTic,,3,Major,Ultra,3,Rokkr,0,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,OpTic,3,Surge,2,OpTic,,3,Major,Surge,3,Mutineers,1,Surge,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Rokkr,250,Guerrillas,175,Rokkr,,3,Major,FaZe,3,Thieves,0,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Rokkr,6,Guerrillas,3,Rokkr,,3,Major,Ultra,3,Mutineers,0,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Rokkr,3,Guerrillas,2,Rokkr,,3,Major,OpTic,1,Thieves,3,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Subliners,230,Thieves,250,Thieves,,3,Major,Surge,3,FaZe,2,Surge,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Bocage,Subliners,3,Thieves,6,Thieves,,3,Major,Ultra,3,Thieves,1,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Subliners,1,Thieves,3,Thieves,,3,Major,FaZe,3,Ultra,2,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,Mutineers,250,Breach,159,Mutineers,,3,Major,Surge,5,FaZe,3,Surge,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Bocage,Mutineers,5,Breach,6,Breach,,4,Wk 1,Mutineers,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,Mutineers,3,Breach,1,Mutineers,,4,Wk 1,OpTic,2,Breach,3,Breach,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Tuscan,Mutineers,239,Breach,250,Breach,,4,Wk 1,Ultra,3,Guerrillas,2,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Desert Siege,Mutineers,4,Breach,6,Breach,,4,Wk 1,Royal Ravens,3,Ultra,1,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Tuscan,Legion,138,Surge,250,Surge,,4,Wk 1,Subliners,3,Guerrillas,1,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Desert Siege,Legion,6,Surge,5,Legion,,4,Wk 1,OpTic,1,Rokkr,3,Rokkr,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,Legion,2,Surge,3,Surge,,4,Wk 1,Thieves,3,Breach,0,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Legion,250,Surge,186,Legion,,4,Wk 1,Surge,3,Legion,0,Surge,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Berlin,Legion,6,Surge,3,Legion,,4,Wk 1,Mutineers,3,Rokkr,0,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Rokkr,162,Thieves,250,Thieves,,4,Wk 1,FaZe,3,Thieves,2,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Rokkr,6,Thieves,2,Rokkr,,4,Wk 2,FaZe,3,Ultra,0,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Rokkr,1,Thieves,3,Thieves,,4,Wk 2,Rokkr,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Rokkr,191,Thieves,250,Thieves,,4,Wk 2,Surge,1,Breach,3,Breach,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,Legion,250,Breach,241,Legion,,4,Wk 2,Mutineers,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Legion,3,Breach,6,Breach,,4,Wk 2,OpTic,3,Legion,1,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,Legion,1,Breach,3,Breach,,4,Wk 2,Surge,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Legion,145,Breach,250,Breach,,4,Wk 2,FaZe,1,Guerrillas,3,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Ultra,235,Royal Ravens,250,Royal Ravens,,4,Wk 2,Guerrillas,1,Breach,3,Breach,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Ultra,6,Royal Ravens,5,Ultra,,4,Wk 2,Thieves,3,Legion,0,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Ultra,2,Royal Ravens,3,Royal Ravens,,4,Wk 2,OpTic,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Ultra,213,Royal Ravens,250,Royal Ravens,,4,Wk 3,FaZe,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,OpTic,177,FaZe,250,FaZe,,4,Wk 3,Mutineers,3,Legion,2,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,OpTic,3,FaZe,6,FaZe,,4,Wk 3,Surge,2,Rokkr,3,Rokkr,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,OpTic,3,FaZe,2,OpTic,,4,Wk 3,Rokkr,3,Legion,2,Rokkr,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Gavutu,OpTic,250,FaZe,186,OpTic,,4,Wk 3,Breach,3,Ultra,2,Breach,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Tuscan,OpTic,6,FaZe,0,OpTic,,4,Wk 3,Thieves,2,Mutineers,3,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,Ultra,204,Breach,250,Breach,,4,Wk 3,Surge,0,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Ultra,6,Breach,5,Ultra,,4,Wk 3,Guerrillas,3,Royal Ravens,2,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Ultra,3,Breach,1,Ultra,,4,Wk 3,OpTic,2,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Berlin,Ultra,185,Breach,250,Breach,,4,Wk 3,Thieves,3,Subliners,2,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Tuscan,Ultra,6,Breach,4,Ultra,,4,Major,Ultra,3,Royal Ravens,2,Ultra,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Tuscan,FaZe,201,Thieves,250,Thieves,,4,Major,Mutineers,3,Breach,2,Mutineers,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Tuscan,FaZe,5,Thieves,6,Thieves,,4,Major,Rokkr,2,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,FaZe,3,Thieves,1,FaZe,,4,Major,FaZe,1,Thieves,3,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Gavutu,FaZe,250,Thieves,169,FaZe,,4,Major,Legion,2,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Berlin,FaZe,6,Thieves,2,FaZe,,4,Major,Guerrillas,3,Royal Ravens,2,Guerrillas,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Berlin,Royal Ravens,250,OpTic,178,Royal Ravens,,4,Major,Surge,2,Breach,3,Breach,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Berlin,Royal Ravens,0,OpTic,6,OpTic,,4,Major,OpTic,3,Rokkr,2,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,Royal Ravens,0,OpTic,3,OpTic,,4,Major,FaZe,3,Guerrillas,0,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Tuscan,Royal Ravens,171,OpTic,250,OpTic,,4,Major,Breach,1,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Bocage,FaZe,250,Ultra,144,FaZe,,4,Major,Ultra,0,Thieves,3,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Desert Siege,FaZe,6,Ultra,1,FaZe,,4,Major,Subliners,3,Mutineers,0,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,FaZe,3,Ultra,1,FaZe,,4,Major,OpTic,3,Ultra,2,OpTic,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Tuscan,Royal Ravens,177,FaZe,250,FaZe,,4,Major,FaZe,3,Mutineers,1,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Desert Siege,Royal Ravens,6,FaZe,5,Royal Ravens,,4,Major,Thieves,1,Subliners,3,Subliners,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Tuscan,Royal Ravens,2,FaZe,3,FaZe,,4,Major,OpTic,1,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Gavutu,Royal Ravens,172,FaZe,250,FaZe,,4,Major,Thieves,3,FaZe,1,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,1,Hardpoint,Gavutu,FaZe,130,OpTic,250,OpTic,,4,Major,Subliners,3,Thieves,5,Thieves,,,,,,,,,,,,,,,,,,,
1,Major,2,SnD,Desert Siege,FaZe,6,OpTic,5,FaZe,,,Champs,Surge,,Royal Ravens,,,,,,,,,,,,,,,,,,,,,
1,Major,3,Control,Gavutu,FaZe,2,OpTic,3,OpTic,,,Champs,Breach,,Thieves,,,,,,,,,,,,,,,,,,,,,
1,Major,4,Hardpoint,Tuscan,FaZe,212,OpTic,250,OpTic,,,Champs,Ultra,,OpTic,,,,,,,,,,,,,,,,,,,,,
1,Major,5,SnD,Tuscan,FaZe,6,OpTic,3,FaZe,,,Champs,Subliners,,FaZe,,,,,,,,,,,,,,,,,,,,,
1,Major,6,Control,Tuscan,FaZe,2,OpTic,3,OpTic,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
1,Major,7,SnD,Berlin,FaZe,4,OpTic,6,OpTic,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Gavutu,Subliners,130,Royal Ravens,250,Royal Ravens,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Desert Siege,Subliners,3,Royal Ravens,6,Royal Ravens,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Gavutu,Subliners,3,Royal Ravens,2,Subliners,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Tuscan,Subliners,215,Royal Ravens,250,Royal Ravens,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Gavutu,Surge,159,Breach,250,Breach,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Desert Siege,Surge,1,Breach,6,Breach,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Surge,3,Breach,1,Surge,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Bocage,Surge,245,Breach,250,Breach,,,Champs,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Bocage,Mutineers,250,Guerrillas,240,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Tuscan,Mutineers,6,Guerrillas,5,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Mutineers,3,Guerrillas,1,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Berlin,Guerrillas,250,Legion,111,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Desert Siege,Guerrillas,6,Legion,3,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Guerrillas,3,Legion,2,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Gavutu,Royal Ravens,250,Thieves,188,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Berlin,Royal Ravens,6,Thieves,4,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Gavutu,Royal Ravens,3,Thieves,2,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Gavutu,Rokkr,189,Ultra,250,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Tuscan,Rokkr,6,Ultra,5,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Rokkr,1,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Tuscan,Rokkr,151,Ultra,250,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Bocage,FaZe,250,Surge,165,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Tuscan,FaZe,5,Surge,6,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Gavutu,FaZe,3,Surge,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Berlin,FaZe,161,Surge,250,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,5,SnD,Berlin,FaZe,2,Surge,6,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Tuscan,Rokkr,248,Legion,250,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Tuscan,Rokkr,3,Legion,6,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Rokkr,3,Legion,1,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Berlin,Rokkr,250,Legion,143,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,5,SnD,Bocage,Rokkr,6,Legion,3,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Bocage,Subliners,102,Mutineers,250,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Tuscan,Subliners,2,Mutineers,6,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Subliners,1,Mutineers,3,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,1,Hardpoint,Tuscan,Thieves,96,OpTic,250,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,2,SnD,Desert Siege,Thieves,6,OpTic,0,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,3,Control,Tuscan,Thieves,0,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,4,Hardpoint,Berlin,Thieves,250,OpTic,205,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 1,5,SnD,Tuscan,Thieves,5,OpTic,6,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Berlin,Royal Ravens,247,Legion,250,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Tuscan,Royal Ravens,3,Legion,6,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,Royal Ravens,3,Legion,0,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Tuscan,Royal Ravens,250,Legion,212,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,5,SnD,Bocage,Royal Ravens,6,Legion,3,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Bocage,Surge,250,OpTic,207,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Bocage,Surge,3,OpTic,6,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Tuscan,Surge,2,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Tuscan,Surge,240,OpTic,250,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Berlin,Rokkr,126,Breach,250,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Bocage,Rokkr,5,Breach,6,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Tuscan,Rokkr,1,Breach,3,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Gavutu,FaZe,250,Royal Ravens,194,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Bocage,FaZe,6,Royal Ravens,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,FaZe,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Tuscan,FaZe,250,Royal Ravens,236,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Bocage,Subliners,250,Legion,180,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Desert Siege,Subliners,6,Legion,1,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Tuscan,Subliners,1,Legion,3,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Berlin,Subliners,250,Legion,79,Subliners,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Bocage,Mutineers,193,OpTic,210,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Berlin,Mutineers,3,OpTic,6,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Tuscan,Mutineers,2,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Bocage,Breach,250,Ultra,247,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Desert Siege,Breach,2,Ultra,6,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,Breach,2,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Gavutu,Breach,250,Ultra,99,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,5,SnD,Berlin,Breach,6,Ultra,2,Breach,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Tuscan,Surge,250,Guerrillas,152,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Berlin,Surge,3,Guerrillas,6,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,Surge,2,Guerrillas,3,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Gavutu,Surge,219,Guerrillas,250,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Berlin,Rokkr,246,Thieves,250,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Tuscan,Rokkr,2,Thieves,6,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,Rokkr,3,Thieves,2,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Bocage,Rokkr,250,Thieves,221,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,5,SnD,Bocage,Rokkr,6,Thieves,1,Rokkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,1,Hardpoint,Gavutu,Ultra,118,FaZe,250,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,2,SnD,Bocage,Ultra,6,FaZe,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,3,Control,Gavutu,Ultra,3,FaZe,2,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,4,Hardpoint,Tuscan,Ultra,239,FaZe,250,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 2,5,SnD,Berlin,Ultra,3,FaZe,6,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,1,Hardpoint,Bocage,Legion,250,Ultra,231,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,2,SnD,Berlin,Legion,5,Ultra,6,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,3,Control,Tuscan,Legion,0,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,4,Hardpoint,Tuscan,Legion,250,Ultra,248,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,5,SnD,Bocage,Legion,6,Ultra,2,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,1,Hardpoint,Tuscan,Thieves,235,Guerrillas,250,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,2,SnD,Bocage,Thieves,6,Guerrillas,5,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,3,Control,Gavutu,Thieves,3,Guerrillas,2,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,4,Hardpoint,Berlin,Thieves,208,Guerrillas,250,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,5,SnD,Desert Siege,Thieves,1,Guerrillas,6,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,1,Hardpoint,Gavutu,Mutineers,165,FaZe,250,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,2,SnD,Berlin,Mutineers,6,FaZe,3,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,3,Control,Tuscan,Mutineers,1,FaZe,3,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,4,Hardpoint,Bocage,Mutineers,199,FaZe,250,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,1,Hardpoint,Tuscan,Surge,218,Thieves,250,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,2,SnD,Tuscan,Surge,6,Thieves,2,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,3,Control,Tuscan,Surge,3,Thieves,0,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wk 3,4,Hardpoint,Berlin,Surge,250,Thieves,152,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,
